X-Axis,10x Region 3
 6.37119E+02, 3.55114E+03
 6.39003E+02, 3.55015E+03
 6.40886E+02, 3.54945E+03
 6.42768E+02, 3.54920E+03
 6.44650E+02, 3.54945E+03
 6.46531E+02, 3.54983E+03
 6.48412E+02, 3.54987E+03
 6.50292E+02, 3.54902E+03
 6.52171E+02, 3.54944E+03
 6.54049E+02, 3.54895E+03
 6.55927E+02, 3.54926E+03
 6.57804E+02, 3.54772E+03
 6.59681E+02, 3.54845E+03
 6.61556E+02, 3.54911E+03
 6.63432E+02, 3.54881E+03
 6.65306E+02, 3.54917E+03
 6.67180E+02, 3.54776E+03
 6.69053E+02, 3.54818E+03
 6.70926E+02, 3.54777E+03
 6.72798E+02, 3.54799E+03
 6.74669E+02, 3.54761E+03
 6.76539E+02, 3.54725E+03
 6.78409E+02, 3.54640E+03
 6.80279E+02, 3.54546E+03
 6.82147E+02, 3.54631E+03
 6.84015E+02, 3.54515E+03
 6.85882E+02, 3.54548E+03
 6.87749E+02, 3.54528E+03
 6.89615E+02, 3.54509E+03
 6.91480E+02, 3.54442E+03
 6.93345E+02, 3.54442E+03
 6.95209E+02, 3.54462E+03
 6.97073E+02, 3.54696E+03
 6.98935E+02, 3.54814E+03
 7.00797E+02, 3.54793E+03
 7.02659E+02, 3.56266E+03
 7.04520E+02, 3.62223E+03
 7.06380E+02, 3.56005E+03
 7.08239E+02, 3.55493E+03
 7.10098E+02, 3.55546E+03
 7.11956E+02, 3.55631E+03
 7.13814E+02, 3.55648E+03
 7.15671E+02, 3.55770E+03
 7.17527E+02, 3.55869E+03
 7.19382E+02, 3.55633E+03
 7.21237E+02, 3.55427E+03
 7.23092E+02, 3.55383E+03
 7.24945E+02, 3.55179E+03
 7.26798E+02, 3.54987E+03
 7.28651E+02, 3.55143E+03
 7.30502E+02, 3.56105E+03
 7.32353E+02, 3.56169E+03
 7.34204E+02, 3.54856E+03
 7.36054E+02, 3.54125E+03
 7.37903E+02, 3.54186E+03
 7.39751E+02, 3.54178E+03
 7.41599E+02, 3.54109E+03
 7.43446E+02, 3.54105E+03
 7.45293E+02, 3.54275E+03
 7.47139E+02, 3.54406E+03
 7.48984E+02, 3.54668E+03
 7.50828E+02, 3.54833E+03
 7.52672E+02, 3.55098E+03
 7.54516E+02, 3.55082E+03
 7.56358E+02, 3.55204E+03
 7.58200E+02, 3.55225E+03
 7.60042E+02, 3.55412E+03
 7.61883E+02, 3.55641E+03
 7.63723E+02, 3.55655E+03
 7.65562E+02, 3.55691E+03
 7.67401E+02, 3.55994E+03
 7.69239E+02, 3.55965E+03
 7.71077E+02, 3.55779E+03
 7.72914E+02, 3.55599E+03
 7.74750E+02, 3.55516E+03
 7.76585E+02, 3.55308E+03
 7.78420E+02, 3.55094E+03
 7.80255E+02, 3.55020E+03
 7.82088E+02, 3.54964E+03
 7.83921E+02, 3.54774E+03
 7.85754E+02, 3.54701E+03
 7.87586E+02, 3.54562E+03
 7.89417E+02, 3.54551E+03
 7.91247E+02, 3.54391E+03
 7.93077E+02, 3.54281E+03
 7.94906E+02, 3.54177E+03
 7.96735E+02, 3.54115E+03
 7.98563E+02, 3.54016E+03
 8.00390E+02, 3.53902E+03
 8.02217E+02, 3.53744E+03
 8.04043E+02, 3.53658E+03
 8.05869E+02, 3.53576E+03
 8.07693E+02, 3.53613E+03
 8.09517E+02, 3.53704E+03
 8.11341E+02, 3.53549E+03
 8.13164E+02, 3.53656E+03
 8.14986E+02, 3.53554E+03
 8.16808E+02, 3.53594E+03
 8.18629E+02, 3.53685E+03
 8.20449E+02, 3.53765E+03
 8.22269E+02, 3.53893E+03
 8.24088E+02, 3.53906E+03
 8.25906E+02, 3.54159E+03
 8.27724E+02, 3.54485E+03
 8.29541E+02, 3.54617E+03
 8.31358E+02, 3.55066E+03
 8.33174E+02, 3.55431E+03
 8.34989E+02, 3.55910E+03
 8.36804E+02, 3.56336E+03
 8.38618E+02, 3.56982E+03
 8.40431E+02, 3.57606E+03
 8.42244E+02, 3.58208E+03
 8.44056E+02, 3.58573E+03
 8.45868E+02, 3.59115E+03
 8.47679E+02, 3.59428E+03
 8.49489E+02, 3.59879E+03
 8.51298E+02, 3.60229E+03
 8.53107E+02, 3.60586E+03
 8.54916E+02, 3.60716E+03
 8.56724E+02, 3.61072E+03
 8.58531E+02, 3.61193E+03
 8.60337E+02, 3.61695E+03
 8.62143E+02, 3.62022E+03
 8.63948E+02, 3.62275E+03
 8.65753E+02, 3.62736E+03
 8.67557E+02, 3.62833E+03
 8.69360E+02, 3.62373E+03
 8.71163E+02, 3.61901E+03
 8.72965E+02, 3.61039E+03
 8.74767E+02, 3.59816E+03
 8.76568E+02, 3.58832E+03
 8.78368E+02, 3.57774E+03
 8.80167E+02, 3.56766E+03
 8.81966E+02, 3.56144E+03
 8.83765E+02, 3.55817E+03
 8.85563E+02, 3.55321E+03
 8.87360E+02, 3.55391E+03
 8.89156E+02, 3.55196E+03
 8.90952E+02, 3.55335E+03
 8.92747E+02, 3.55482E+03
 8.94542E+02, 3.55845E+03
 8.96336E+02, 3.55893E+03
 8.98129E+02, 3.56021E+03
 8.99922E+02, 3.56513E+03
 9.01714E+02, 3.56823E+03
 9.03506E+02, 3.57309E+03
 9.05297E+02, 3.57786E+03
 9.07087E+02, 3.57964E+03
 9.08877E+02, 3.58146E+03
 9.10666E+02, 3.58506E+03
 9.12454E+02, 3.58690E+03
 9.14242E+02, 3.58714E+03
 9.16029E+02, 3.59108E+03
 9.17816E+02, 3.59295E+03
 9.19602E+02, 3.59581E+03
 9.21387E+02, 3.59906E+03
 9.23172E+02, 3.60548E+03
 9.24956E+02, 3.60980E+03
 9.26740E+02, 3.61207E+03
 9.28523E+02, 3.61449E+03
 9.30305E+02, 3.61914E+03
 9.32087E+02, 3.62539E+03
 9.33868E+02, 3.63202E+03
 9.35648E+02, 3.63862E+03
 9.37428E+02, 3.64190E+03
 9.39207E+02, 3.65012E+03
 9.40986E+02, 3.65712E+03
 9.42764E+02, 3.65349E+03
 9.44541E+02, 3.64669E+03
 9.46318E+02, 3.62817E+03
 9.48094E+02, 3.60611E+03
 9.49869E+02, 3.58971E+03
 9.51644E+02, 3.57555E+03
 9.53419E+02, 3.56461E+03
 9.55192E+02, 3.55555E+03
 9.56965E+02, 3.54997E+03
 9.58738E+02, 3.54655E+03
 9.60510E+02, 3.54368E+03
 9.62281E+02, 3.54256E+03
 9.64051E+02, 3.54093E+03
 9.65821E+02, 3.54049E+03
 9.67591E+02, 3.53869E+03
 9.69360E+02, 3.53860E+03
 9.71128E+02, 3.53819E+03
 9.72895E+02, 3.53860E+03
 9.74662E+02, 3.53804E+03
 9.76429E+02, 3.53881E+03
 9.78195E+02, 3.53949E+03
 9.79960E+02, 3.53934E+03
 9.81724E+02, 3.53893E+03
 9.83488E+02, 3.54038E+03
 9.85251E+02, 3.54206E+03
 9.87014E+02, 3.54375E+03
 9.88776E+02, 3.54652E+03
 9.90538E+02, 3.54801E+03
 9.92299E+02, 3.55040E+03
 9.94059E+02, 3.55360E+03
 9.95819E+02, 3.55773E+03
